Grant Name,Administering Body,Grant Purpose,Application Deadline,Deadline Type,Deadline Date,Deadline Status,Days Until Deadline,Deadline Notes,Expired,Funding Amount,Funding Min Amount,Funding Max Amount,Funding Currency,Funding Amount (AUD),Parsing Confidence,Parsing Notes,Co-contribution Requirements,Eligibility Criteria,Assessment Criteria,Application Complexity,Web Link,Level of Complexity
ARENA - Advancing Renewables Program,Australian Renewable Energy Agency (ARENA),"Accelerate innovation, commercialization, and deployment of renewable energy technologies and solutions in Australia",Open/Continuous applications,ROLLING,,ONGOING,,Applications accepted continuously,No,"Varies, typically up to 50% of eligible project costs, for 1-5 years",,,UNKNOWN,,VARIABLE,Variable or unspecified amount,Significant mandatory co-contribution from the applicant,"Australian-based organizations (companies, research institutions, government bodies) undertaking renewable energy projects","Project merit, technical and commercial feasibility, market impact, and contribution to ARENA's investment priorities","Complex - requires detailed technical, financial, and commercial proposals",https://arena.gov.au/funding/advancing-renewables-program/,Complex
ARC Industrial Transformation Research Hubs,Australian Research Council,Support collaborative research between universities and industry on cutting-edge technologies,Varies by round - check ARC Grants Calendar,MULTIPLE,,ONGOING,,Multiple deadlines throughout year,No,"$500,000 - $1,000,000 per year for 3-5 years","100,000","500,000",AUD,"500,000",MEDIUM,"Range: 100,000 - 500,000; Per annum amount",Significant partner contributions required,Must be Eligible Organisation (universities); Focus on Industrial Transformation Priority areas; Requires industry partnerships,Collaborative approach; Innovation and originality; Team track record; Industry relevance; Growth/productivity/competitiveness potential,High - extensive application with multiple assessment stages,https://www.arc.gov.au/funding-research/funding-schemes/linkage-program/industrial-transformation-research-program/industrial-transformation-research-hubs,Complex
ARC Discovery Early Career Researcher Award (DE27),Australian Research Council (ARC),Support early career researchers 2-8 years post-PhD,28 January - 11 March 2026,SPECIFIC,11/03/2026,UPCOMING,92,Standard deadline,No,Variable funding for 3-4 years,,,UNKNOWN,,VARIABLE,Variable or unspecified amount,None required,Early career researchers 2-8 years post-PhD,Research potential and career development,Moderate to Complex,https://www.arc.gov.au/,Complex
ARC Linkage Projects (LP26),Australian Research Council (ARC),Industry-university collaboration,14 January - 18 March 2026,SPECIFIC,18/03/2026,UPCOMING,99,Standard deadline,No,"Variable, requires industry partner contribution",,,UNKNOWN,,VARIABLE,Variable or unspecified amount,Minimum 1:1 cash/in-kind from industry partners,Australian universities with established industry partnerships,Industry collaboration strength and research excellence,Complex - requires established industry partnerships,https://www.arc.gov.au/,Complex
ARC Discovery Projects 2027,Australian Research Council (ARC),Support excellent research across all disciplines (excluding clinical medicine),Expression of Interest: 3 November - 12 December 2025,SPECIFIC,12/12/2025,URGENT,3,Standard deadline,Yes,"$30,000-$500,000 per year for up to 5 years","30,000","500,000",AUD,"500,000",MEDIUM,"Up to amount; Range: 30,000 - 500,000; Per annum amount","None required, but encouraged","Australian researchers, strong track record required","Project quality (45%), investigator capability (30%), research benefit (25%)",Complex - multi-stage process with EOI and full application (47.3% success rate),https://www.arc.gov.au/funding-research/funding-schemes,Complex
ARC Future Fellowships (FT26),Australian Research Council (ARC),Support mid-career researchers to develop research leadership,24 September - 5 November 2025,SPECIFIC,5/11/2025,PAST,,Standard deadline,Yes,Up to 4 years salary support plus research funding,,,UNKNOWN,,LOW,No numbers found,None required,Mid-career researchers with leadership potential,Career development focus with research program evaluation,Complex - career development focus with research program,https://www.arc.gov.au/,Complex
Industrial Transformation Training Centres 2026 (IC26),Australian Research Council (ARC),"Provides funding for partnerships between university researchers and industry to support Higher Degree by Research (HDR) and postdoctoral training in industries vital to Australia's future, including Medical Science priority area",26 November 2025 at 5:00pm AEDT,SPECIFIC,26/11/2025,PAST,,Specific time deadline,Yes,Maximum $5 million over 4-5 consecutive years,"5,000,000","5,000,000",AUD,"5,000,000",HIGH,Standard amount,Significant cash and/or in-kind contributions required from all participating organisations including universities and industry partners,"Must be submitted by an Eligible Organisation (Australian universities listed in Grant Guidelines); Must address one or more Industrial Transformation Priorities including Medical Science; Must nominate at least one Australian Partner Organisation; Research team must include Training Centre Director from Administering Organisation, at least one other CI from Administering Organisation, at least one CI from each Other Eligible Organisation, at least one Partner Investigator from each Partner Organisation","1. Quality and innovation (30%): Evidence of managing collaborative industrial research, significant industry project outcomes, capacity for HDR supervision and mentoring; 2. Feasibility (25%): Team research track record appropriateness, time and capacity to undertake research; 3. Benefit (25%): Training program contribution to research priorities, national benefit alignment; 4. Commitment and Collaboration (20%): Partner engagement quality, cash/in-kind contributions sufficiency","High - Requires extensive documentation including research proposal, budget justification, partner letters of support, HDR training program details, submission through Research Management System (RMS)",https://www.arc.gov.au/funding-research/funding-schemes/linkage-program/industrial-transformation-research-program/industrial-transformation-training-centres,Complex
Australian Sports Commission Research Grant,Australian Sports Commission,Sports science research aligned with National Sport Research Agenda,20 January - 28 February 2025,SPECIFIC,28/02/2025,PAST,,Standard deadline,Yes,"$100,000 total budget for 12 months","100,000","100,000",AUD,"100,000",HIGH,Standard amount,Not specified,Australian universities and research organizations,Alignment with National Sport Research Agenda,Moderate,https://www.ausport.gov.au/grants_and_funding/asc-research-grant-program,Moderate
Research & Development Tax Incentive,"Australian Taxation Office (ATO) and Department of Industry, Science and Resources",Tax offset for eligible R&D activities,Annual claims with tax returns,ANNUAL,,ONGOING,,Annual application cycle,No,43.5% refundable offset (<$20M turnover); 38.5% non-refundable offset (≥$20M turnover),"20,000,000","20,000,000",AUD,"20,000,000",HIGH,Standard amount,"Company's own R&D expenditure (minimum $20,000)","Australian companies conducting eligible R&D (excludes gambling and tobacco from July 1, 2025)",R&D eligibility and technical documentation requirements,Moderate - requires detailed technical documentation,https://business.gov.au/grants-and-programs/research-and-development-tax-incentive,Moderate
Research and Development Tax Incentive (R&DTI) 2025,"Australian Taxation Office (ATO) and Department of Industry, Science and Resources",Provides tax offsets to encourage companies to invest in eligible R&D activities in Australia,Ongoing; registration within 10 months of income year end,ROLLING,,ONGOING,,Applications accepted continuously,No,43.5% refundable offset (<$20M turnover); 38.5% non-refundable offset (≥$20M turnover),"20,000,000","20,000,000",AUD,"20,000,000",HIGH,Standard amount,"Minimum $20,000 annual R&D expenditure",Incorporated company in Australia conducting eligible R&D activities,Self-assessment with compliance checks before and after registration,Moderate to Complex,https://business.gov.au/Grants-and-Programs/Research-and-Development-Tax-Incentive,Complex
Gates Foundation Grand Challenges in Global Health,Bill & Melinda Gates Foundation,"Supports breakthrough solutions to global health challenges through open calls across AI, equity, maternal health, infectious diseases",Rolling applications,ROLLING,,ONGOING,,Applications accepted continuously,No,"USD $100,000-$1,000,000+ (AUD $150,000-$1,500,000+)","100,000","150,000",USD,"228,000",MEDIUM,"Range: 100,000 - 150,000; Multiple currencies mentioned",Not specified,Global eligibility; Australian institutions eligible,"Innovation, global health impact, breakthrough potential",Moderate to Complex,https://www.gatesfoundation.org/ideas/articles/grand-challenges-grants-twenty-years,Complex
R&D Career Grants,"Callaghan Innovation, New Zealand",Encourage innovative NZ businesses to hire and upskill recent STEM graduates by subsidising graduate salaries for genuine R&D positions,Open year-round with no fixed close date,OTHER,,UNKNOWN,,Standard deadline,No,"Covers first 6 months' salary: up to NZD $30,000 + GST for master's graduate; up to NZD $35,000 + GST for PhD graduate","30,000","35,000",NZD,"31,850",MEDIUM,"Up to amount; Range: 30,000 - 35,000",Business pays graduate's salary normally; grant reimburses the capped portion,"NZ-incorporated company with active R&D program hiring recent MSc/PhD in relevant field (science, engineering, design, etc.)",Ongoing enrollment basis provided eligibility and due diligence criteria are met,"Simple - application via Callaghan's online portal, first-come basis with staff support",https://www.callaghaninnovation.govt.nz/,
Cancer Australia Research Initiative - Early-Onset Cancer 2025 (GO7773),"Cancer Australia (CARI), co-funded with NHMRC",Supports research to enhance understanding of early-onset cancer and develop novel clinical approaches,Minimum data: 27 August 2025; Full application: 10 September 2025,SPECIFIC,2025-08-27 to 2025-09-10,PAST,,Multi-stage application,Yes,"Total available: $7,000,000 AUD","700,000","700,000",AUD,"700,000",HIGH,Standard amount,Not specified,NHMRC-approved Administering Institutions; translational potential and workforce capacity building required,"Translational potential, workforce development, alignment with Australian Cancer Plan",Complex,https://www.nhmrc.gov.au/funding/find-funding/cancer-australia-research-initiative-targeted-call-research-early-onset-cancer-2025,Complex
Cancer Council NSW Project Grants 2026,Cancer Council New South Wales,Support cancer research across all aspects of cancer,Project Grants commencing April 2026,OTHER,,UNKNOWN,,Standard deadline,No,Up to 3 years funding (amounts not specified),,,UNKNOWN,,VARIABLE,Variable or unspecified amount,Host organization support,"Australian researchers, cancer research focus","Scientific excellence, cancer relevance, feasibility",Complex - requires detailed research methodology,https://www.cancercouncil.com.au/,Complex
Cancer Institute NSW Equipment Grants,Cancer Institute NSW,Cancer research equipment for SPHERE members,EOI: 13 May 2025 (12pm); Full Application: 26 May 2025,SPECIFIC,2025-05-13 to 2025-05-26,PAST,,EOI required,Yes,"Up to $600,000 per application for 12 months","600,000","600,000",AUD,"600,000",HIGH,Up to amount,Institutional endorsement required,SPHERE member institutions,Equipment need and cancer research impact,Complex - institutional endorsement required,https://www.cancerinstitute.org.au/,Complex
Cartier Women's Initiative,Cartier,International entrepreneurship program for women impact entrepreneurs,Applications close: 24 June 2025 at 2pm CEST,SPECIFIC,24/06/2025,PAST,,Standard deadline,Yes,"1st place: $100,000 USD; 2nd place: $60,000 USD; 3rd place: $30,000 USD","30,000","100,000",USD,"152,000",MEDIUM,"Range: 30,000 - 100,000",None required,Women-led/owned businesses; 1-6 years operation; Revenue since June 2024; <$2M raised; Leadership role; 18+ years; B2 English,Social/environmental impact; Business viability; Growth potential; Leadership quality,Medium to High - competitive international program,https://www.cartierwomensinitiative.com/,Complex
Chan Zuckerberg Initiative,Chan Zuckerberg Initiative,"Biomedical data analysis, open source software development",Multiple rolling programs,ROLLING,,ONGOING,,Applications accepted continuously,No,"Typically $200,000 - $500,000 for 2-3 years","200,000","500,000",AUD,"500,000",MEDIUM,"Range: 200,000 - 500,000",Varies by program,Global researchers (Recent Australian Awards: University of Sydney scientists received ~$1M),Innovation in biomedical data and open source contribution,Competitive international process,https://chanzuckerberg.com/,
Mary McConnel Career Boost Program for Women in Paediatric Research,"Children's Hospital Foundation, Queensland",Support outstanding female clinician-researchers (pre-PhD to mid-career) in Queensland with financial assistance and mentoring,16 April 2025 (closed),CLOSED,16/04/2025,CLOSED,,Standard deadline,Yes,"Unspecified ""financial assistance"" (likely salary top-up or project funding, likely >$10k) for up to 1-2 years",,,UNKNOWN,,VARIABLE,Variable or unspecified amount,No co-funding required,Female CHQ-employed researchers at early/mid careers,Review by CHQ research office/foundation,Moderate - letter and support letters required,https://childrens.org.au/,Moderate
CSIRO Kick-Start Program,Commonwealth Scientific and Industrial Research Organisation (CSIRO),Support Australian SMEs by providing access to CSIRO's research expertise and facilities for R&D projects,Continuous applications,ROLLING,,ONGOING,,Applications accepted continuously,No,"Up to AUD $50,000 for 3-12 months","50,000","50,000",AUD,"50,000",HIGH,Up to amount,Mandatory matched funding (cash or in-kind) from the SME,Australian SMEs (less than AUD $100M turnover) partnering with CSIRO,"Innovation potential, technical feasibility, market opportunity, and collaboration plan with CSIRO",Simple to Moderate - streamlined to encourage SME participation,https://www.csiro.au/en/work-with-us/for-business/csiro-kick-start,Moderate
SA Rural Health Innovation Fund Grants Round 3,Country SA PHN,Support innovative health projects in rural SA communities,28 April 2025 (Round 3 closed),CLOSED,28/04/2025,CLOSED,,Round 3,Yes,Variable amounts for community-based programs,,,UNKNOWN,,VARIABLE,Variable or unspecified amount,Community/organization support,Rural SA organizations and community groups,"Community benefit, innovation, sustainability",Simple to Moderate - community-focused,https://www.countrysaphn.com.au/rural-health-innovation-fund-grants/,Moderate
Creative HQ Programs,Creative HQ,"Innovation support for startups, government, and organisations",Varies by program,MULTIPLE,,ONGOING,,Multiple deadlines throughout year,No,Varies by program,,,UNKNOWN,,VARIABLE,Variable or unspecified amount,Varies by program,New Zealand-based; Varies by specific program,Innovation potential; Team capability; Market opportunity,Varies by program,https://creativehq.co.nz/,Varies
CSIRO ON Prime (Cohort 18),CSIRO,9-week program for research teams to develop understanding of potential beneficiaries through customer discovery,Applications typically open Jan/Feb and June/July each year (Currently closed),CLOSED,,CLOSED,,Standard deadline,No,"Up to $5,000 per team","5,000","5,000",AUD,"5,000",HIGH,Up to amount,None required - program is free,Teams of 2-5 people; One member must be researcher at Australian university/PFRO; All Australian-based; 1 day/week commitment for 9 weeks,Solution/value proposition; Problem addressed; Identified end-users/customers,Medium - Online application with evaluation process,https://www.csiro.au/en/work-with-us/funding-programs/Innovation-programs/ON-Prime,Moderate
CSIRO ON Accelerate (Cohort 10),CSIRO,3-month commercialisation acceleration program for entrepreneurial researchers ready to translate research into a company,Applications close: 7 September 2025,SPECIFIC,7/09/2025,PAST,,Standard deadline,Yes,"$20,000 per team (to TTOs); Up to $400,000 distributed to high-performing teams (max $80,000 per team); Total program value $150,000+","20,000","400,000",AUD,"400,000",MEDIUM,"Up to amount; Range: 20,000 - 400,000",None required - program is free,Teams of 3-6 members; All Australian-based; Must include researcher from Australian university/PFRO or PhD student/recent grad; Minimum 1 FTE commitment; Must be registered company for VC readiness,Solution/value proposition; Evidence of problem; Target market identification; Team skillsets; Commercial traction; Alignment with objectives; Evidence startup is appropriate pathway,"High - Multi-stage process including online application, 2-day bootcamp, immersion week, 3-month program",https://www.csiro.au/en/work-with-us/funding-programs/Innovation-programs/ON-Accelerate,Complex
Australia's Economic Accelerator (AEA) 2025,Department of Education,Accelerates commercialisation of university research through Ignite (proof-of-concept) and Innovate (proof-of-scale) streams,Rolling applications; second round currently open,ROLLING,,ONGOING,,Applications accepted continuously,Yes,"Ignite: $50,000-$500,000; Innovate: $250,000-$5,000,000","50,000","500,000",AUD,"500,000",MEDIUM,"Range: 50,000 - 500,000",Varies by stream; industry matching encouraged,Australian universities and eligible research institutions,"Translation potential, industry partnerships, scalable technologies",Complex,https://www.aea.gov.au/,Complex
Australia's Economic Accelerator (AEA) Seed Grants,"Department of Education, Australian Government",Support proof-of-concept research with commercial and translational outcomes,Program completed - was pilot for AEA Ignite,CLOSED,,CLOSED,,Standard deadline,Yes,"$50,000 - $500,000","50,000","500,000",AUD,"500,000",MEDIUM,"Range: 50,000 - 500,000",Not specified,"Australian universities only (Table A, Table B, or University College category); Projects at TRL 3-5; Must align with National Reconstruction Fund priorities",Alignment with government priority areas; Commercial potential; Innovation approach,Medium to High,https://www.education.gov.au/australias-economic-accelerator/australias-economic-accelerator-seed-grants,Complex
National Industry PhD Program,"Department of Education, Australian Government",Support PhD candidates undertaking industry-focused research projects,Round 6 closes: 15 August 2025,SPECIFIC,15/08/2025,PAST,,Round 6,Yes,Not specified in detail - funding for PhD candidates,,,UNKNOWN,,VARIABLE,Variable or unspecified amount,Industry co-design and participation required,Two streams: Industry Linked PhD (for outstanding PhD candidates) and Industry Researcher PhD (for industry professionals); Must be co-designed with university and industry,Industry relevance; Research quality; Candidate qualifications; Industry partnership strength,Medium - requires industry partnership,https://www.education.gov.au/national-industry-phd-program,Moderate
AEA Ignite,"Department of Education, Australian Government / Australia's Economic Accelerator",Support early-stage research commercialisation at TRL 3-5,Round 2 closes: 3 September 2025 at 5pm AEST; Round 3 expected early 2026,TBA,3/09/2025,TBA,-97,Round 2,No,"Up to $500,000 for max 12 months (includes any previous AEA Seed funding)","500,000","500,000",AUD,"500,000",HIGH,Up to amount,Industry engagement required,Australian universities only; Projects at TRL 3-5; Must demonstrate industry engagement and commercialisation pathway,Technology readiness level; Industry engagement; Commercialisation pathway; Alignment with priority areas,Medium to High - requires university research office coordination,https://www.aea.gov.au/researcher-applicant/grants/aea-ignite,Complex
MRFF 2025 Research Data Infrastructure Grant Opportunity,Department of Health Disability and Ageing,Fund creation or extension of national research data infrastructure to support world-class health and medical research using novel methods to harness multiple existing data infrastructure types,Not specified,ONGOING,,ONGOING,,No specific close date mentioned,No,"Total $20M available, $0 - $2.5M per grant",0,"2,500,000",AUD,"0 - 2,500,000",HIGH,Clear range specified from grant guidelines,Not specified,"Must have ABN, incorporated in Australia, be medical research institute/university/corporate Commonwealth entity/corporation; cannot be individual/partnership/unincorporated association","Research quality, alignment with objectives, novel methodologies",High - requires detailed research proposals with data linkage plans,https://www.grants.gov.au/Go/Show?GoUuid=444a1760-5d57-4f23-b90a-3c77594774f2,High
Addressing Critical Psychology Shortages - Supporting Provisional Psychologists to Practice extension,Department of Health Disability and Ageing,Support provisional psychologists to practice by increasing availability of internships in the 5+1 training pathway; funding for approximately 500 internships per year until 2028-29,Not specified,ONGOING,,ONGOING,,No specific close date mentioned; rolling applications,No,Total $47.6M over three years (2026-27 to 2028-29),,,AUD,"47,629,000",MEDIUM,Total programme amount; individual grant amounts not specified,Not specified,"Various entity types including Indigenous Corporation, Company, Incorporated Association, Sole Trader, Partnership; must have experience in mental health sector and networks with psychology graduates","Experience in mental health, established networks with graduates and service providers",Moderate - requires demonstration of capability and networks,https://www.grants.gov.au/Go/Show?GoUuid=5daad11e-499f-4466-bcbd-3ed432789bc4,Moderate
Support at Home Program - Thin Markets (rural remote and specialised) 2025-26 (Round 2),Department of Health Disability and Ageing,Provide flexible funding to support aged care service delivery for Support at Home providers operating in thin markets (rural/remote MM3-7 areas and/or specialised services),14 January 2026 2:00pm,FIXED,14/01/2026,UPCOMING,35,14 January 2026 2:00pm ACT Local Time,No,Total $100M available,,,AUD,"100,000,000",MEDIUM,Total programme amount only,Not specified,Support at Home providers delivering services in MM areas 3-7 and/or with Specialisation Verification; at least 25% Aboriginal/Torres Strait Islander participants for specialist stream,"Geographic eligibility, participant composition, specialisation verification",Moderate - demand driven programme with specific eligibility criteria,https://www.grants.gov.au/Go/Show?GoUuid=6a232a55-3909-475e-9d40-98f6a8f6eff8,Moderate
