"Grant Name","Administering Body","Grant Purpose","Application Deadline","Funding Amount","Co-contribution","Requirements","Eligibility Criteria","Assessment Criteria","Application Complexity","Web Link","Level of Complexity","last_checked","tags","notes"
"MRFF – 2025 International Clinical Trial Collaborations (ICTC) – Round 2","NHMRC on behalf of Australian Government Department of Health and Aged Care (MRFF)","Supports Australian participation in international clinical trials; Round 2 closes February 2026.","2026-02-04","","","Apply via Sapphire/GrantConnect.","MRFF-eligible administering organisations.","","","Full MRFF application via Sapphire; templates and RAO approvals required.","https://www.health.gov.au/our-work/mrff/grant-opportunities-calendar","High","2025-10-27T00:00:00Z","clinical trials, international collaboration, TRL6-9",""
"MRFF – 2022 Frontier Health and Medical Research (Stage 2)","NHMRC on behalf of Australian Government Department of Health and Aged Care (MRFF)","Supports bold, innovative frontier research to tackle big health challenges through multidisciplinary approaches.","2026-03-31","","","Apply via Sapphire/GrantConnect.","MRFF-eligible administering organisations.","","","Full MRFF application via Sapphire; templates and RAO approvals required.","https://www.health.gov.au/our-work/mrff/grant-opportunities-calendar","High","2025-10-27T00:00:00Z","frontier research, innovation, TRL1-4","MRFF calendar notes close ‘expected’ 2026-03-31."
"MRFF & NHMRC – 2025 Australia‑UK Platform Studies in Areas of Unmet Clinical Need (Upcoming)","NHMRC and Australian Government Department of Health and Aged Care (MRFF), with NIHR (UK)","Invites successful NIHR Stage 2 platform studies (closing 2025-11-27) to apply for MRFF or NHMRC funding in Q2 2026.","","(Not stated)","","Invitation-only following NIHR Stage 2; timing Q2 2026.","Successful NIHR Stage 2 platform studies; details per MRFF calendar.","","","GrantConnect/Sapphire process post‑invitation.","https://www.health.gov.au/our-work/mrff/grant-opportunities-calendar","High","2025-10-27T00:00:00Z","clinical trials, platform trials, international collaboration, TRL6-9","Stage dates and invite process per MRFF calendar."
"NHMRC – Clinical Trials and Cohort Studies Grants (2025 round)","National Health and Medical Research Council (NHMRC)","Supports high-quality clinical trials and cohort studies to deliver implementable findings that improve health outcomes and practice/policy.","2025-11-05","","","Apply via NHMRC Sapphire; minimum data due 2025-10-08.","NHMRC Administering Institutions; scheme-wide rules apply.","","","Full NHMRC application via Sapphire; peer review.","https://www.nhmrc.gov.au/funding/find-funding/clinical-trials-and-cohort-studies-grants","High","2025-10-27T00:00:00Z","clinical trials, cohort studies, implementation, TRL5-9",""
"NHMRC – Centres of Research Excellence (CRE) 2026","National Health and Medical Research Council (NHMRC)","Funds teams to pursue collaborative research and build capacity in basic, clinical, health services and public health research.","2025-11-19","$3,000,000 over 5 years","","Apply via NHMRC Sapphire; minimum data due 2025-10-29; streams across four areas.","NHMRC Administering Institutions; see scheme guidelines.","","","Full NHMRC application via Sapphire; peer review.","https://www.nhmrc.gov.au/funding/find-funding/centres-research-excellence","High","2025-10-27T00:00:00Z","collaborative research, CRE, capacity building, TRL2-7",""
"NHMRC – Global Alliance for Chronic Diseases (GACD): Strengthening Health Systems Funding Call 2025","National Health and Medical Research Council (NHMRC) with GACD","Implementation research to strengthen health systems to improve equity in care/outcomes for NCDs in LMICs and underserved populations; for NHMRC funding in HICs, focus must be on Aboriginal and/or Torres Strait Islander communities.","2025-10-28","$5,000,000 (program total)","","Two-stage call via GACD Portal; shortlisted Australia-based applicants submit to NHMRC Sapphire at Stage 2.","Australia-based applicants via NHMRC; projects in LMICs and/or underserved populations; specific focus required for HICs as above.","","","Two-stage international + NHMRC application.","https://www.nhmrc.gov.au/funding/find-funding/global-alliance-chronic-diseases-strengthening-health-systems-funding-call-2025","High","2025-10-27T00:00:00Z","health systems, implementation, LMIC, Indigenous health, TRL4-7","NHMRC page lists ‘Level of funding $5,000,000’ (program)."
"FHRI Fund Distinguished Fellows 2025–26","Future Health Research and Innovation (FHRI) Fund, WA Department of Health","Attracts outstanding interstate/international research leaders to relocate to WA to build WA-led globally recognised research programs.","","Up to $5,000,000 over 5 years","25% (FHRI provides 75%)","Relocation to WA; salary support for Fellow and team, direct research funding and relocation costs.","International or interstate senior research leaders appointable at academic Level C/D/E or equivalent clinical level.","","","Expression-of-interest style process; rolling acceptance; GMS form to be published.","https://fhrifund.health.wa.gov.au/Funding/Current-opportunities/FHRI-Fund-Distinguished-Fellows-2025-26","High","2025-10-27T00:00:00Z","leadership, recruitment, capacity building, WA","Program status: Open; ‘Applicants may apply at any time’."
"2025 Innovative Research in Precision Medicine (WA)","The Hospital Research Foundation Group with FHRI Fund Co‑Funding Partnerships Program","Supports innovative precision medicine projects led by early‑to‑mid‑career researchers in WA across cancer, mental health, musculoskeletal, cardiovascular and neurodegenerative conditions.","2025-10-29","Tier 1: up to $125,000 over 2 years; Tier 2 seed: $25,000","","EOI via SmartyGrants by 4:00pm (AWST) 29 Oct 2025; templates provided.","ECR/MCR at Eligible Administering Institutions in WA; see guidelines for definitions.","","","EOI stage; shortlisted to full application.","https://hospitalresearch.org.au/research-and-services/grants/current-opportunities/innovative-research-precision-medicine/","Medium","2025-10-27T00:00:00Z","precision medicine, genomics, digital health, WA, ECR/MCR, TRL3-6",""
"Tom Simpson Trust Fund (SA)","Heart Foundation (South Australia)","Supports cardiac care research in South Australia through provision of research equipment grants.","2025-10-27","Guidance: $10,000–$15,000 (ex GST)","","Apply via Heart Foundation Grants Management Portal; travel must occur 2026 if applicable.","SA-based early‑career researchers (<10 years), cardiac-focus; future expenditure only.","","","Short online application; single closing date.","https://www.heartfoundation.org.au/research/research-funding/tom-simpson","Low","2025-10-27T00:00:00Z","cardiac, equipment, SA, early-career","Closes 5:00pm ACDT on 2025-10-27."
"WA Cystic Fibrosis Research Collaborative Program – Stream 1: Postgraduate Top‑Up Scholarships (final 2025 round)","FHRI Fund (with Cystic Fibrosis Western Australia)","Top‑up scholarships to support postgraduate research within the WA CF Research Collaborative.","2025-10-31","","","Apply via CF WA (external) by 1:00pm (AWST) 31 Oct 2025.","WA-based CF postgraduate researchers as per program rules.","","","Short application to CF WA.","https://www.cfwa.org.au","Low","2025-10-27T00:00:00Z","respiratory, cystic fibrosis, scholarship, WA","Listed on FHRI Fund ‘Current opportunities’ with closing date and external link."
"Wellcome Early‑Career Awards (international)","Wellcome Trust","Funds early‑career researchers to develop their research identity and deliver advances in life, health and wellbeing; includes salary and research costs.","","Salary + up to £400,000 research expenses","","Three rounds/year; apply via Wellcome Funding system; sponsor/mentor required.","Administering organisation must be in UK, Republic of Ireland or a low‑/middle‑income country; Australian applicants eligible if hosted at an eligible non‑Australian institution.","","","Two-stage internal/external reviews; guidance-driven process.","https://wellcome.org/research-funding/schemes/wellcome-early-career-awards","High","2025-10-27T00:00:00Z","international, early-career, discovery, global health, data/AI (eligible), TRL1-4","Australians can apply if hosted at eligible organisations outside Australia (UK/ROI/LMIC)."
"MRFF – 2025 Maternal Health and Healthy Lifestyles (duplicate for clarity)","NHMRC on behalf of Australian Government Department of Health and Aged Care (MRFF)","As above — preventive health across life stages.","2025-12-03","","","Apply via Sapphire/GrantConnect.","MRFF-eligible administering organisations.","","","Full MRFF application via Sapphire.","https://www.health.gov.au/our-work/mrff/grant-opportunities-calendar","High","2025-10-27T00:00:00Z","public health, prevention, TRL2-6",""
"MRFF – 2025 Clinical Trials Activity (duplicate for clarity)","NHMRC on behalf of Australian Government Department of Health and Aged Care (MRFF)","As above — support for priority clinical trials.","2026-04-01","","","Apply via Sapphire/GrantConnect.","MRFF-eligible administering organisations.","","","Full MRFF application via Sapphire.","https://www.health.gov.au/our-work/mrff/grant-opportunities-calendar","High","2025-10-27T00:00:00Z","clinical trials, TRL6-9",""
"MRFF – 2025 Brain Cancer Research (duplicate for clarity)","NHMRC on behalf of Australian Government Department of Health and Aged Care (MRFF)","As above — ABCR mission.","2026-02-04","","","Apply via Sapphire/GrantConnect.","MRFF-eligible administering organisations.","","","Full MRFF application via Sapphire.","https://www.health.gov.au/our-work/mrff/grant-opportunities-calendar","High","2025-10-27T00:00:00Z","brain cancer, oncology",""
"MRFF – 2025 International Clinical Trial Collaborations (ICTC) – Round 2 (duplicate for clarity)","NHMRC on behalf of Australian Government Department of Health and Aged Care (MRFF)","As above — international collaboration.","2026-02-04","","","Apply via Sapphire/GrantConnect.","MRFF-eligible administering organisations.","","","Full MRFF application via Sapphire.","https://www.health.gov.au/our-work/mrff/grant-opportunities-calendar","High","2025-10-27T00:00:00Z","clinical trials, international",""
"NHMRC – Clinical Trials and Cohort Studies Grants (2025 round) (duplicate for clarity)","National Health and Medical Research Council (NHMRC)","As above — CTCS.","2025-11-05","","","Apply via NHMRC Sapphire.","NHMRC Administering Institutions.","","","Full NHMRC application via Sapphire.","https://www.nhmrc.gov.au/funding/find-funding/clinical-trials-and-cohort-studies-grants","High","2025-10-27T00:00:00Z","clinical trials, cohort",""
"NHMRC – Centres of Research Excellence (CRE) 2026 (duplicate for clarity)","National Health and Medical Research Council (NHMRC)","As above — CRE.","2025-11-19","$3,000,000 over 5 years","","Apply via NHMRC Sapphire.","NHMRC Administering Institutions.","","","Full NHMRC application via Sapphire.","https://www.nhmrc.gov.au/funding/find-funding/centres-research-excellence","High","2025-10-27T00:00:00Z","CRE",""
